Team,Conference,Year,Target,Win %,Off.Rank,Def.Rank,Avg.Turnover.Margin.per.Game,Points.Per.Game,Avg.Points.per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Rushing.Yards.per.Game,Pass.Yards.Per.Game.Allowed,Pass.Yards.Per.Game,Off.Yards.Play,Yards.Play.Allowed,X3rd.Percent,Opponent.3rd.Percent,Redzone.Points,Redzone.Points.Allowed
Marshall,C-USA,2014,1,0.9285714285714286,2,31,-0.14,45.6,21.0,160.2,271.9,196.9,287.3,7.59,4.73,0.514,0.311,0.845,0.765
Maryland,Big Ten,2014,0,0.5384615384615384,109,95,0.0,28.5,30.2,201.9,121.8,234.3,220.2,5.26,5.45,0.326,0.402,0.914,0.833
Massachusetts,MAC,2014,0,0.25,48,101,-0.5,27.3,33.0,191.8,109.3,255.8,311.8,5.75,5.75,0.36,0.416,0.704,0.854
Memphis,AAC,2014,1,0.7692307692307693,46,27,0.85,36.2,19.5,121.5,190.5,228.0,236.6,5.49,4.74,0.367,0.353,0.933,0.688
Miami,FL,2014,0,0.46153846153846156,44,14,-0.08,29.2,24.3,137.1,180.4,192.5,249.9,6.68,4.79,0.368,0.398,0.787,0.826
Miami,OH,2014,0,0.16666666666666666,85,94,0.17,22.3,31.8,199.9,97.6,234.3,277.8,5.45,6.03,0.344,0.427,0.725,0.842
Michigan,Big Ten,2014,0,0.4166666666666667,112,7,-1.33,20.9,22.4,117.7,162.8,193.7,170.2,5.32,4.77,0.394,0.382,0.892,0.829
Michigan St.,Big Ten,2014,1,0.8461538461538461,11,8,1.46,43.0,21.5,88.5,235.2,227.3,265.6,6.55,5.09,0.5,0.313,0.868,0.867
Middle Tenn.,C-USA,2014,0,0.5,43,105,-0.33,31.6,31.5,182.6,213.8,269.7,217.5,5.93,5.85,0.444,0.441,0.83,0.843
Minnesota,Big Ten,2014,0,0.6153846153846154,103,39,0.77,28.4,24.2,174.7,215.5,193.5,141.8,5.45,5.43,0.403,0.404,0.878,0.9
Mississippi St.,SEC,2014,1,0.7692307692307693,8,84,0.0,36.9,21.7,151.5,233.1,272.8,280.7,6.67,5.65,0.464,0.351,0.82,0.636
Missouri,SEC,2014,1,0.7857142857142857,95,23,0.64,27.8,21.1,133.7,177.9,212.7,189.1,5.39,4.83,0.429,0.37,0.933,0.868
Navy,FBS Independent,2014,0,0.6153846153846154,50,70,-0.31,31.8,27.3,198.6,338.1,205.2,81.4,6.36,5.83,0.481,0.429,0.873,0.788
NC State,ACC,2014,0,0.6153846153846154,57,46,0.38,30.2,27.0,168.4,204.5,204.7,204.0,5.97,5.24,0.458,0.485,0.865,0.8
Nebraska,Big Ten,2014,0,0.6923076923076923,31,52,-0.15,37.8,26.4,177.8,240.2,205.8,212.1,6.22,5.37,0.413,0.301,0.883,0.818
New Mexico St.,Sun Belt,2014,0,0.16666666666666666,49,113,-1.08,24.5,39.1,309.9,179.3,174.5,241.6,5.48,6.51,0.414,0.446,0.829,0.917
North Carolina,ACC,2014,0,0.46153846153846156,45,117,0.0,33.2,39.0,240.5,151.4,257.4,278.4,5.56,6.53,0.424,0.49,0.836,0.889
North Texas,C-USA,2014,0,0.3333333333333333,114,42,0.0,27.2,29.8,161.8,153.2,207.7,172.8,4.87,5.48,0.387,0.384,0.943,0.886
Northern Ill.,MAC,2014,1,0.7857142857142857,36,57,0.86,31.5,25.6,163.1,249.1,228.5,192.1,5.76,5.5,0.478,0.437,0.824,0.896
Northwestern,Big Ten,2014,0,0.4166666666666667,104,53,0.33,23.0,25.2,169.9,136.6,214.3,216.5,4.5,5.25,0.4,0.387,0.814,0.771
Notre Dame,FBS Independent,2014,0,0.6153846153846154,32,71,-0.23,32.8,29.2,171.2,159.5,233.0,285.5,6.11,5.6,0.474,0.411,0.806,0.84
Ohio,MAC,2014,0,0.5,91,59,-0.33,20.5,24.8,132.9,164.1,261.4,206.2,5.26,5.58,0.397,0.427,0.833,0.806
Ohio St.,Big Ten,2014,1,0.9333333333333333,9,19,0.47,44.8,22.0,141.3,264.5,201.1,247.1,6.98,4.98,0.52,0.344,0.851,0.844
Oklahoma,Big 12,2014,0,0.6153846153846154,23,51,-0.38,36.4,25.9,106.4,261.2,276.2,203.5,6.41,5.14,0.404,0.383,0.828,0.821
Oklahoma St.,Big 12,2014,0,0.5384615384615384,82,91,-0.62,27.6,31.2,162.8,136.6,269.2,242.2,5.43,5.79,0.33,0.408,0.905,0.854
Ole Miss,,2014,0,0.6923076923076923,51,13,0.54,28.3,16.0,136.9,155.5,192.1,263.6,6.03,4.67,0.393,0.33,0.707,0.735
Oregon,Pac-12,2014,1,0.8666666666666667,3,87,1.53,45.4,23.6,165.4,234.5,264.3,312.5,7.34,5.52,0.495,0.423,0.863,0.847
Oregon St.,Pac-12,2014,0,0.4166666666666667,72,74,0.33,25.7,31.6,158.2,118.1,248.1,275.4,5.57,5.76,0.319,0.398,0.792,0.857
Penn St.,Big Ten,2014,0,0.5384615384615384,111,2,-0.38,20.6,18.6,100.5,101.9,178.2,233.4,4.6,4.27,0.395,0.302,0.825,0.821
Pittsburgh,,2014,0,0.46153846153846156,40,33,-0.38,31.8,26.3,160.8,249.5,198.9,185.9,6.17,5.59,0.465,0.376,0.898,0.842
Purdue,Big Ten,2014,0,0.25,108,80,-0.42,23.8,31.7,192.1,157.2,223.9,187.4,4.95,5.58,0.362,0.467,0.838,0.789
Rice,C-USA,2014,0,0.6153846153846154,65,54,0.62,28.8,28.5,152.5,167.8,233.4,231.5,5.62,5.74,0.448,0.414,0.917,0.833
Rutgers,Big Ten,2014,0,0.6153846153846154,73,98,-0.15,26.7,30.2,212.3,162.6,230.5,227.4,5.99,6.39,0.359,0.425,0.902,0.778
SMU,AAC,2014,0,0.08333333333333333,124,119,-1.17,11.1,41.3,235.8,100.3,263.7,168.7,4.08,6.62,0.326,0.438,0.69,0.831
South Alabama,Sun Belt,2014,0,0.46153846153846156,84,65,-0.54,22.5,26.4,186.1,179.0,212.8,197.0,5.15,5.59,0.365,0.41,0.78,0.776
South Carolina,SEC,2014,0,0.5384615384615384,33,92,-0.15,32.6,30.4,212.2,161.0,220.5,282.4,6.09,6.22,0.434,0.42,0.865,0.883
South Fla.,AAC,2014,0,0.3333333333333333,118,69,0.0,17.2,27.0,182.9,107.9,219.8,196.8,4.94,5.69,0.376,0.453,0.704,0.886
Southern California,Pac-12,2014,0,0.6923076923076923,29,76,0.85,35.8,25.2,133.4,160.9,274.5,296.6,6.04,5.3,0.466,0.35,0.868,0.741
Southern Miss.,C-USA,2014,0,0.25,97,104,-0.83,19.0,35.4,216.3,95.8,235.1,269.3,5.1,6.41,0.346,0.444,0.769,0.774
Stanford,Pac-12,2014,0,0.6153846153846154,75,3,-0.38,27.2,16.4,104.5,158.8,177.9,229.8,5.89,4.21,0.424,0.358,0.737,0.818
Syracuse,ACC,2014,0,0.25,113,26,-0.08,17.1,24.3,139.3,145.8,209.9,184.1,4.91,5.0,0.341,0.393,0.8,0.775
TCU,Big 12,2014,1,0.9230769230769231,5,18,1.38,46.5,19.0,108.8,206.8,233.0,326.2,6.68,4.66,0.431,0.279,0.862,0.844
Temple,AAC,2014,0,0.5,117,24,0.25,23.1,17.5,160.2,107.8,186.9,200.7,4.79,4.75,0.235,0.35,0.69,0.727
Tennessee,SEC,2014,0,0.5384615384615384,90,36,0.15,28.9,24.2,168.4,146.4,196.2,224.2,4.93,5.31,0.389,0.344,0.926,0.941
Texas,Big 12,2014,0,0.46153846153846156,110,25,-0.23,21.4,23.8,164.3,137.4,184.2,199.9,4.92,4.68,0.343,0.353,0.786,0.75
Texas A&M,SEC,2014,0,0.6153846153846154,30,102,-0.54,35.2,28.1,216.0,149.9,234.8,305.5,6.33,5.91,0.408,0.402,0.878,0.86
Texas St.,Sun Belt,2014,0,0.5833333333333334,24,99,0.58,33.8,27.7,202.8,238.5,243.3,225.9,6.06,5.71,0.39,0.4,0.86,0.787
Texas Tech,Big 12,2014,0,0.3333333333333333,10,122,-1.08,30.5,41.3,259.5,153.0,253.2,351.1,6.62,6.24,0.437,0.469,0.763,0.912
Toledo,MAC,2014,0,0.6923076923076923,15,76,-0.23,36.6,30.5,116.2,256.4,291.7,234.2,6.55,5.81,0.46,0.432,0.887,0.887
Troy,Sun Belt,2014,0,0.25,100,107,0.33,21.8,36.2,246.1,164.5,207.9,198.8,5.34,6.38,0.389,0.509,0.778,0.926
Tulane,AAC,2014,0,0.25,107,55,0.25,16.0,28.4,157.9,145.5,229.9,201.3,4.83,5.65,0.332,0.381,0.667,0.685
Tulsa,AAC,2014,0,0.16666666666666666,56,114,-0.67,24.7,39.3,214.7,147.8,272.1,264.7,5.17,6.95,0.384,0.417,0.761,0.827
UAB,C-USA,2014,0,0.5,42,73,-0.17,33.2,29.9,175.1,212.1,231.0,219.8,5.51,5.68,0.432,0.354,0.745,0.805
UCF,AAC,2014,0,0.6923076923076923,99,5,-0.08,28.1,19.2,104.3,128.3,194.2,235.3,5.02,4.47,0.415,0.373,0.804,0.714
UCLA,Pac-12,2014,1,0.7692307692307693,22,63,0.0,33.5,28.1,147.9,209.5,250.6,258.3,6.13,5.17,0.431,0.399,0.941,0.844
UConn,AAC,2014,0,0.16666666666666666,123,49,-1.08,15.5,29.8,169.8,106.9,208.8,169.3,4.5,5.22,0.305,0.398,0.583,0.848
Utah,Pac-12,2014,0,0.6923076923076923,76,58,0.38,31.3,24.9,146.8,190.4,246.6,197.7,5.35,5.34,0.408,0.372,0.844,0.846
UTEP,C-USA,2014,0,0.5384615384615384,105,38,0.69,26.6,28.1,176.8,207.8,191.2,142.9,5.3,6.3,0.422,0.366,0.841,0.857
UTSA,C-USA,2014,0,0.3333333333333333,119,43,-0.25,17.1,25.9,140.2,122.2,229.5,175.3,4.48,5.23,0.282,0.429,0.813,0.829
Vanderbilt,SEC,2014,0,0.25,122,68,-1.33,17.2,33.3,183.8,109.3,218.3,179.1,4.68,5.72,0.303,0.422,0.731,0.923
Virginia,ACC,2014,0,0.4166666666666667,87,28,0.42,25.8,24.1,120.7,137.8,232.5,236.4,5.08,5.14,0.418,0.39,0.837,0.821
Virginia Tech,ACC,2014,0,0.5384615384615384,96,21,-0.31,24.1,20.2,144.8,147.9,199.0,217.4,4.93,5.15,0.39,0.288,0.875,0.714
Wake Forest,ACC,2014,0,0.25,125,40,-0.17,14.8,26.4,182.7,39.9,186.6,176.3,3.38,5.22,0.284,0.411,0.727,0.818
Washington,Pac-12,2014,0,0.5714285714285714,74,78,0.86,30.2,24.8,124.1,188.6,286.6,200.1,5.4,5.38,0.411,0.374,0.889,0.741
Washington St.,Pac-12,2014,0,0.25,7,97,-1.42,31.8,38.6,145.7,39.8,296.6,477.7,6.12,6.18,0.419,0.393,0.803,0.868
West Virginia,Big 12,2014,0,0.5384615384615384,12,66,-1.15,33.5,27.6,168.2,182.8,231.2,317.0,5.92,5.43,0.424,0.314,0.8,0.854
Western Ky.,C-USA,2014,0,0.6153846153846154,4,120,0.38,44.4,39.9,220.8,160.3,289.2,374.3,7.05,6.66,0.511,0.475,0.881,0.742
Western Mich.,MAC,2014,0,0.6153846153846154,39,45,0.23,33.8,24.9,153.5,170.8,217.6,267.3,6.51,5.47,0.48,0.402,0.882,0.739
Wisconsin,Big Ten,2014,1,0.7857142857142857,21,4,-0.64,34.6,20.8,126.1,320.1,168.0,148.7,6.77,4.91,0.382,0.284,0.869,0.906
Akron,MAC,2015,0,0.6153846153846154,104,15,0.77,23.9,21.5,92.9,164.2,238.6,192.9,5.13,4.85,0.367,0.369,0.766,0.791
Alabama,SEC,2015,1,0.9333333333333333,45,3,0.67,35.1,15.1,75.7,199.9,200.6,227.1,5.89,4.3,0.374,0.286,0.823,0.833
Appalachian St.,Sun Belt,2015,1,0.8461538461538461,26,11,0.15,36.7,19.1,131.5,271.5,182.9,195.8,6.74,4.69,0.426,0.34,0.88,0.636
Arizona,Pac-12,2015,0,0.5384615384615384,16,114,-0.31,37.4,35.8,198.5,222.3,268.3,272.6,6.48,5.93,0.411,0.459,0.831,0.931
Arizona St.,Pac-12,2015,0,0.46153846153846156,24,112,0.15,34.6,33.5,126.2,178.4,337.5,299.1,5.8,6.23,0.41,0.387,0.875,0.896
Arkansas,SEC,2015,0,0.6153846153846154,29,58,0.54,35.9,27.4,116.5,197.3,275.2,268.2,6.83,6.07,0.469,0.441,0.831,0.868
Arkansas St.,Sun Belt,2015,0,0.6923076923076923,37,88,0.62,40.0,30.2,151.5,231.3,267.8,207.2,5.86,5.76,0.385,0.335,0.81,0.857
Army West Point,FBS Independent,2015,0,0.16666666666666666,108,47,-0.92,22.1,27.8,165.2,244.3,210.4,94.0,5.61,6.07,0.446,0.417,0.774,0.93
Auburn,SEC,2015,0,0.5384615384615384,94,71,0.15,27.5,26.0,182.7,196.4,222.5,173.6,5.39,5.37,0.413,0.449,0.902,0.755
Ball St.,MAC,2015,0,0.25,90,121,0.08,23.1,35.8,225.5,153.3,292.5,218.3,4.98,6.76,0.382,0.514,0.8,0.845
Baylor,Big 12,2015,1,0.7692307692307693,1,62,0.0,48.1,28.3,163.1,326.7,233.5,289.5,7.26,5.19,0.467,0.368,0.871,0.905
Boston College,ACC,2015,0,0.25,125,1,0.25,17.2,15.3,82.8,164.4,171.5,111.2,4.4,4.07,0.267,0.241,0.778,0.733
Bowling Green,MAC,2015,0,0.7142857142857143,4,86,0.86,42.2,28.9,182.4,180.0,235.4,366.8,6.74,5.4,0.502,0.408,0.831,0.833
Buffalo,MAC,2015,0,0.4166666666666667,71,81,0.0,26.7,27.6,186.1,136.9,227.3,249.5,5.27,5.66,0.366,0.393,0.837,0.897
BYU,FBS Independent,2015,0,0.6923076923076923,49,23,0.15,33.7,22.8,143.8,128.3,201.8,296.5,6.02,4.9,0.401,0.38,0.943,0.773
California,Pac-12,2015,0,0.6153846153846154,8,108,0.31,37.9,30.7,209.8,152.8,243.9,376.3,6.96,6.1,0.469,0.43,0.882,0.923
Central Mich.,MAC,2015,0,0.5384615384615384,63,16,0.15,25.8,22.0,139.2,101.3,193.0,300.4,5.71,5.14,0.438,0.356,0.887,0.762
Cincinnati,AAC,2015,0,0.5384615384615384,6,78,-1.46,33.8,31.2,191.6,177.9,217.0,359.9,6.6,5.79,0.51,0.371,0.815,0.857
Clemson,ACC,2015,1,0.9333333333333333,11,10,-0.13,38.5,21.7,125.3,223.0,187.7,291.5,6.39,4.85,0.474,0.277,0.9,0.833
Colorado,Pac-12,2015,0,0.3076923076923077,67,85,0.08,24.6,27.5,198.7,156.2,218.2,240.6,5.12,5.72,0.361,0.422,0.704,0.87
Duke,ACC,2015,0,0.6153846153846154,36,60,-0.08,31.5,25.4,153.8,192.9,240.9,246.5,5.53,5.37,0.433,0.377,0.836,0.85
East Carolina,AAC,2015,0,0.4166666666666667,55,66,-0.25,27.4,26.0,174.5,133.3,226.4,281.3,5.67,5.38,0.43,0.406,0.886,0.841
Eastern Mich.,MAC,2015,0,0.08333333333333333,78,122,-1.08,25.4,42.1,316.5,157.8,202.8,222.2,5.49,7.02,0.383,0.515,0.833,0.804
FIU,C-USA,2015,0,0.4166666666666667,106,76,0.25,25.5,29.8,185.1,109.9,221.0,237.8,5.06,5.71,0.425,0.415,0.872,0.756
Fla. Atlantic,C-USA,2015,0,0.25,81,70,-0.17,22.5,28.8,168.4,164.8,236.7,213.1,5.09,5.54,0.332,0.397,0.725,0.744
Florida,SEC,2015,0,0.7142857142857143,111,8,0.57,23.2,18.3,128.1,126.9,182.1,207.1,5.11,4.65,0.364,0.335,0.667,0.795
Florida St.,ACC,2015,1,0.7692307692307693,51,19,0.0,31.7,17.5,145.3,168.2,191.6,255.8,6.53,4.68,0.381,0.392,0.891,0.829
Ga. Southern,Sun Belt,2015,0,0.6923076923076923,46,21,0.46,36.5,23.5,130.9,363.0,207.2,63.4,6.41,5.47,0.417,0.356,0.875,0.912
Georgia,SEC,2015,1,0.7692307692307693,83,7,0.31,26.3,16.9,149.5,192.2,156.5,185.1,6.03,4.76,0.31,0.289,0.786,0.676
Georgia St.,Sun Belt,2015,0,0.46153846153846156,43,74,-0.08,26.9,28.3,181.1,96.9,224.5,335.9,6.23,5.3,0.435,0.405,0.8,0.837
Georgia Tech,ACC,2015,0,0.25,80,42,-0.58,29.3,25.8,165.1,256.2,202.9,121.8,5.85,5.82,0.349,0.361,0.838,0.833
Houston,AAC,2015,1,0.9285714285714286,20,53,1.5,40.4,20.7,108.9,235.8,274.7,248.4,6.16,5.48,0.504,0.374,0.881,0.914
Idaho,Sun Belt,2015,0,0.3333333333333333,44,117,-0.5,30.3,42.1,273.3,147.2,214.4,281.3,5.53,6.97,0.415,0.404,0.882,0.905
Illinois,Big Ten,2015,0,0.4166666666666667,88,30,0.33,22.7,23.3,166.4,129.3,184.4,243.4,4.93,4.9,0.363,0.314,0.725,0.872
Indiana,Big Ten,2015,0,0.46153846153846156,14,120,0.62,36.5,37.6,195.7,210.5,313.8,293.8,6.23,6.38,0.381,0.421,0.885,0.833
Iowa,Big Ten,2015,1,0.8571428571428571,72,22,0.79,30.9,20.4,121.4,181.7,219.6,204.4,5.77,4.96,0.417,0.367,0.852,0.806
Iowa St.,Big 12,2015,0,0.25,58,107,-0.92,25.0,32.7,186.6,182.0,266.8,226.3,5.39,6.16,0.402,0.469,0.775,0.86
Kansas,Big 12,2015,0,0.0,114,127,-0.58,15.3,46.1,267.2,112.9,293.7,218.6,4.43,6.96,0.365,0.453,0.667,0.779
Kansas St.,Big 12,2015,0,0.46153846153846156,112,105,-0.23,29.9,31.5,166.7,157.7,285.5,176.0,4.95,6.24,0.391,0.436,0.945,0.846
Kent St.,MAC,2015,0,0.25,126,27,-0.25,13.1,26.1,143.9,132.8,206.2,138.1,4.11,4.86,0.254,0.34,0.75,0.778
Kentucky,SEC,2015,0,0.4166666666666667,89,59,-0.17,24.7,27.4,196.1,162.7,198.1,209.3,5.47,5.55,0.374,0.394,0.833,0.75
La.-Monroe,Sun Belt,2015,0,0.15384615384615385,122,92,-1.23,21.0,36.5,208.0,102.9,214.8,207.9,4.48,5.61,0.297,0.346,0.767,0.787
Louisiana,Sun Belt,2015,0,0.3333333333333333,77,89,-0.75,26.4,31.8,183.8,172.8,237.1,207.6,5.45,5.96,0.375,0.423,0.816,0.756
Louisiana Tech,C-USA,2015,0,0.6923076923076923,21,48,0.08,37.5,26.8,119.3,159.6,256.5,323.2,6.9,5.29,0.388,0.4,0.875,0.875
Louisville,ACC,2015,0,0.6153846153846154,54,18,-0.08,28.7,24.1,120.2,171.0,212.5,245.1,6.01,4.82,0.381,0.353,0.828,0.824
LSU,SEC,2015,1,0.75,39,25,0.58,32.8,24.3,122.9,256.8,224.3,180.4,6.7,5.17,0.399,0.357,0.848,0.861
Marshall,C-USA,2015,1,0.7692307692307693,64,35,0.31,31.3,17.8,168.1,168.9,191.9,231.5,5.38,4.69,0.394,0.343,0.806,0.732
Maryland,Big Ten,2015,0,0.25,87,90,-1.5,24.7,34.4,162.8,200.7,258.4,174.3,5.43,5.58,0.294,0.349,0.813,0.907
Massachusetts,MAC,2015,0,0.25,65,103,-0.08,22.2,31.4,192.9,142.3,254.9,257.5,5.41,5.67,0.348,0.47,0.69,0.891
Memphis,AAC,2015,0,0.6923076923076923,19,77,0.62,40.2,27.3,146.5,179.5,260.2,307.5,6.16,5.51,0.488,0.371,0.889,0.841
Miami,FL,2015,0,0.6153846153846154,68,69,0.85,27.8,28.2,200.6,119.1,204.2,277.4,5.9,5.78,0.35,0.393,0.817,0.9
Miami,OH,2015,0,0.25,109,68,-1.17,17.9,32.0,168.9,129.7,235.7,208.5,5.06,5.63,0.312,0.351,0.818,0.827
Michigan,Big Ten,2015,1,0.7692307692307693,69,4,-0.31,31.4,16.4,122.2,158.2,158.5,237.7,5.68,4.46,0.462,0.276,0.929,0.794
Michigan St.,Big Ten,2015,1,0.8571428571428571,73,26,1.0,29.8,21.7,116.0,151.3,233.9,234.2,5.44,5.47,0.485,0.349,0.843,0.854
Middle Tenn.,C-USA,2015,0,0.5384615384615384,32,74,-0.31,34.0,26.6,152.2,145.7,253.5,311.7,5.92,5.46,0.421,0.373,0.836,0.694
Minnesota,Big Ten,2015,0,0.46153846153846156,103,24,-0.31,22.5,25.2,166.4,144.1,179.5,214.8,5.34,4.9,0.389,0.416,0.861,0.889
Mississippi St.,SEC,2015,0,0.6923076923076923,31,56,-0.31,34.4,23.2,174.6,144.1,216.5,316.4,6.46,5.32,0.429,0.355,0.906,0.733
Missouri,SEC,2015,0,0.4166666666666667,124,6,-0.08,13.6,16.2,132.8,115.4,169.3,165.5,4.38,4.32,0.303,0.393,0.774,0.816
Navy,AAC,2015,1,0.8461538461538461,48,40,1.46,36.8,21.8,143.0,326.7,221.9,98.5,6.35,5.65,0.503,0.468,0.948,0.737
NC State,ACC,2015,0,0.5384615384615384,57,29,0.69,33.2,25.8,147.5,202.1,203.2,210.8,5.63,5.51,0.411,0.352,0.852,0.867
Nebraska,Big Ten,2015,0,0.46153846153846156,34,64,-0.92,32.8,27.8,109.8,180.0,290.5,266.9,6.09,5.88,0.448,0.34,0.889,0.816
New Mexico St.,Sun Belt,2015,0,0.25,42,124,0.08,28.6,45.0,242.3,180.5,280.0,252.8,5.8,6.79,0.355,0.428,0.795,0.764
North Carolina,ACC,2015,1,0.7857142857142857,18,95,0.5,40.7,24.5,247.4,224.4,188.6,262.5,7.28,5.5,0.488,0.442,0.889,0.793
North Texas,C-USA,2015,0,0.08333333333333333,117,119,-0.58,15.2,41.3,239.9,158.7,262.7,161.4,4.56,6.67,0.326,0.524,0.714,0.873
Northern Ill.,MAC,2015,0,0.5714285714285714,66,87,0.14,31.1,27.6,174.7,190.1,243.6,208.4,5.33,5.18,0.375,0.409,0.875,0.827
Northwestern,Big Ten,2015,1,0.7692307692307693,115,13,0.08,19.5,18.6,126.2,188.5,192.8,138.5,4.47,4.53,0.409,0.325,0.825,0.784
Notre Dame,FBS Independent,2015,1,0.7692307692307693,27,45,-0.46,34.2,24.1,175.6,207.6,197.1,258.8,7.02,5.57,0.425,0.351,0.811,0.805
Ohio,MAC,2015,0,0.6153846153846154,56,49,0.38,27.5,25.3,168.2,180.8,209.5,232.2,5.65,5.7,0.408,0.331,0.765,0.878
Ohio St.,Big Ten,2015,1,0.9230769230769231,41,9,0.23,35.7,15.1,126.8,245.2,184.5,188.8,6.33,4.5,0.407,0.349,0.825,0.806
Oklahoma,Big 12,2015,1,0.8461538461538461,7,39,0.69,43.5,22.0,161.7,222.1,202.8,308.2,6.8,4.79,0.436,0.404,0.884,0.791
Oklahoma St.,Big 12,2015,1,0.7692307692307693,22,99,1.0,39.5,30.5,186.9,126.8,252.2,353.2,6.39,5.69,0.435,0.422,0.917,0.844
Old Dominion,C-USA,2015,0,0.4166666666666667,91,96,-0.08,24.3,35.8,203.3,151.8,233.9,219.5,5.34,5.67,0.352,0.468,0.674,0.794
Ole Miss,SEC,2015,1,0.7692307692307693,10,54,0.0,40.8,22.6,127.1,183.1,258.8,334.7,7.07,4.87,0.414,0.389,0.839,0.84
Oregon,Pac-12,2015,0,0.6923076923076923,5,116,0.38,43.0,37.5,178.8,279.9,306.5,258.3,7.05,6.03,0.391,0.422,0.857,0.909
Oregon St.,Pac-12,2015,0,0.16666666666666666,110,115,-0.33,19.0,37.0,225.5,177.3,256.0,159.1,5.12,6.44,0.317,0.455,0.839,0.859
Penn St.,Big Ten,2015,0,0.5384615384615384,105,14,0.31,23.2,21.8,151.0,134.2,173.5,214.5,5.47,4.78,0.276,0.366,0.933,0.914
Pittsburgh,ACC,2015,0,0.6153846153846154,82,37,0.0,28.2,26.1,148.5,186.8,214.7,190.6,5.76,5.69,0.439,0.4,0.833,0.974
Purdue,Big Ten,2015,0,0.16666666666666666,95,110,-0.42,25.1,36.5,214.9,131.3,243.4,237.3,4.8,6.13,0.35,0.432,0.868,0.803
Rice,C-USA,2015,0,0.4166666666666667,62,102,-1.0,26.1,35.8,190.3,177.6,257.2,224.3,5.32,7.13,0.497,0.443,0.795,0.881
Rutgers,Big Ten,2015,0,0.3333333333333333,84,111,-0.17,27.1,34.9,186.1,169.9,275.9,207.1,5.61,6.85,0.365,0.445,0.85,0.8
SMU,AAC,2015,0,0.16666666666666666,76,118,-0.83,27.8,45.7,261.2,164.5,241.0,218.3,5.29,7.06,0.394,0.464,0.841,0.927
South Alabama,Sun Belt,2015,0,0.4166666666666667,101,83,-0.42,25.0,37.3,221.0,160.7,195.0,199.5,5.19,6.01,0.348,0.439,0.85,0.961
South Carolina,SEC,2015,0,0.25,99,94,0.42,21.9,27.5,217.4,154.7,212.4,207.5,5.61,6.03,0.354,0.47,0.861,0.826
South Fla.,AAC,2015,0,0.6153846153846154,35,52,0.77,33.6,22.9,141.4,246.5,239.1,195.1,6.43,5.24,0.369,0.371,0.872,0.865
Southern California,Pac-12,2015,0,0.5714285714285714,38,65,0.79,33.9,25.7,149.3,168.2,251.5,269.7,6.19,5.7,0.392,0.362,0.877,0.887
Southern Miss.,C-USA,2015,0,0.6428571428571429,12,50,-0.07,39.9,25.6,151.9,179.8,227.6,329.7,6.91,5.32,0.462,0.37,0.808,0.818
Stanford,Pac-12,2015,1,0.8571428571428571,40,43,0.07,37.8,22.6,139.9,223.7,228.4,211.8,6.57,5.57,0.5,0.363,0.871,0.872
Syracuse,ACC,2015,0,0.3333333333333333,118,98,0.42,27.3,31.0,181.8,163.2,256.7,156.8,5.11,6.21,0.335,0.369,0.923,0.902
TCU,Big 12,2015,1,0.8461538461538461,3,63,0.0,42.1,27.2,182.6,215.4,215.8,347.5,6.79,5.16,0.434,0.278,0.803,0.778
Temple,AAC,2015,0,0.7142857142857143,96,20,0.21,29.8,20.1,127.9,149.7,209.1,217.0,5.37,5.04,0.412,0.319,0.871,0.786
Tennessee,SEC,2015,0,0.6923076923076923,52,36,0.54,35.2,20.0,151.6,223.7,210.4,198.6,5.56,5.21,0.46,0.276,0.833,0.756
Texas,Big 12,2015,0,0.4166666666666667,92,106,0.92,26.4,30.3,219.2,224.8,233.4,145.9,5.7,5.63,0.353,0.442,0.882,0.922
Texas A&M,SEC,2015,0,0.6153846153846154,50,51,-0.46,27.8,22.0,213.7,169.1,166.3,255.6,5.59,5.42,0.423,0.33,0.778,0.83
Texas St.,Sun Belt,2015,0,0.25,53,123,-0.58,26.9,39.2,258.0,187.3,263.8,229.3,5.55,7.01,0.364,0.491,0.761,0.868
Texas Tech,Big 12,2015,0,0.5384615384615384,2,126,0.15,45.1,43.6,279.9,191.3,267.8,388.2,6.95,6.91,0.517,0.497,0.875,0.859
Toledo,MAC,2015,1,0.8333333333333334,30,46,0.67,35.0,20.8,115.2,207.9,259.7,253.0,6.13,5.07,0.462,0.403,0.839,0.675
Troy,Sun Belt,2015,0,0.3333333333333333,102,57,0.0,27.9,28.3,192.2,119.1,199.1,240.8,5.41,5.25,0.351,0.36,0.865,0.822
Tulane,AAC,2015,0,0.25,119,80,0.08,19.7,36.3,178.8,115.8,233.4,201.3,4.76,5.81,0.346,0.464,0.893,0.843
Tulsa,AAC,2015,0,0.46153846153846156,13,125,0.31,37.2,39.8,239.7,174.2,296.9,333.2,6.09,6.59,0.441,0.447,0.86,0.864
UCF,AAC,2015,0,0.0,127,113,-1.67,13.9,37.7,199.2,81.3,264.9,187.2,4.12,6.54,0.292,0.475,0.75,0.906
UCLA,Pac-12,2015,0,0.6153846153846154,28,67,0.0,32.2,26.0,198.5,177.5,203.2,288.4,6.25,5.0,0.451,0.396,0.895,0.837
UConn,AAC,2015,0,0.46153846153846156,123,33,0.69,17.2,19.5,165.8,124.8,189.3,185.5,4.93,5.2,0.318,0.405,0.788,0.727
