Team,Conference,Year,Target,Win %,Off.Rank,Def.Rank,Avg.Turnover.Margin.per.Game,Points.Per.Game,Avg.Points.per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Rushing.Yards.per.Game,Pass.Yards.Per.Game.Allowed,Pass.Yards.Per.Game,Off.Yards.Play,Yards.Play.Allowed,X3rd.Percent,Opponent.3rd.Percent,Redzone.Points,Redzone.Points.Allowed
Kentucky,SEC,2013,0,0.16666666666666666,107,91,0.0,20.5,31.2,197.3,147.9,229.8,193.3,5.29,6.26,0.309,0.447,0.8,0.808
La.-Monroe,Sun Belt,2013,0,0.5,98,90,-0.33,22.3,30.2,189.3,122.8,237.6,237.5,5.03,5.82,0.379,0.402,0.658,0.767
Louisiana,Sun Belt,2013,0,0.6923076923076923,56,56,0.08,33.8,26.5,150.7,204.5,242.8,212.2,6.14,5.76,0.5,0.413,0.863,0.795
Louisiana Tech,C-USA,2013,0,0.3333333333333333,94,69,-0.25,19.2,26.3,194.8,160.2,213.5,206.0,5.12,5.3,0.359,0.453,0.791,0.822
Louisville,AAC,2013,1,0.9230769230769231,28,1,1.31,35.2,12.2,80.7,146.8,170.8,314.0,6.7,4.2,0.56,0.267,0.862,0.684
LSU,SEC,2013,1,0.7692307692307693,35,15,0.0,35.8,22.0,143.2,202.3,197.5,251.0,6.94,5.08,0.571,0.383,0.839,0.814
Marshall,C-USA,2013,0,0.7142857142857143,12,35,0.21,42.1,22.9,160.5,205.9,208.1,294.4,6.41,4.9,0.514,0.336,0.924,0.83
Maryland,ACC,2013,0,0.5384615384615384,75,44,-0.54,26.2,25.3,149.3,148.4,225.1,248.5,5.79,5.09,0.317,0.342,0.826,0.906
Massachusetts,MAC,2013,0,0.08333333333333333,120,98,-0.58,11.7,33.0,215.5,125.2,217.8,156.4,4.29,6.6,0.36,0.404,0.714,0.814
Memphis,AAC,2013,0,0.25,116,39,-0.67,19.5,24.6,116.3,138.3,254.3,173.2,4.68,5.19,0.306,0.439,0.842,0.773
